name,location,latitude,longitude
"安楽寺","東京都台東区根岸4-1-3","35.724361111","139.784361111"
"安楽寺","東京都板橋区徳丸8-9-1","35.780361111","139.658277777"
"安楽寺","東京都品川区西五反田5-6-8","35.624416666","139.716416666"
"安楽寺","徳島県三好市西祖谷山村上吾橋160","33.869138888","133.786944444"
"安楽寺","徳島県板野郡上板町引野字寺ノ西北8","34.11805556","134.38838889"
"安楽寺","徳島県美馬市美馬町字宮西11","34.052638888","134.061694444"
"安楽寺","栃木県佐野市並木町1185","36.322044","139.551865"
"安楽寺","栃木県那須烏山市田野倉285","36.659888888","140.088972222"
"安楽寺","栃木県芳賀郡茂木町北高岡425","36.515789","140.163437"
"安楽寺","日本 〒253-0105 神奈川県高座郡寒川町岡田2-6-1","35.371306","139.387944"
"安楽寺","福島県いわき市川前町上桶売字中里119","37.264923","140.713196"
"安楽寺","福島県河沼郡会津坂下町大字高寺字窪倉甲283","37.587971","139.777985"
"安楽寺","福島県喜多方市関柴町下柴字下柴435","37.679142","139.928833"
"安楽寺","福島県大沼郡会津美里町勝原字西勝94","37.448456","139.845459"
"安楽寺","福島県東白川郡塙町大字塙字上町87","36.955524","140.417175"
"安楽寺","福島県福島市大笹生字下ノ寺17","37.805","140.402557"
"安楽寺","兵庫県加古川市志方町細工所631","34.832333","134.842361"
"安楽寺八角三重塔","長野県上田市大字別所","36.3524","138.1522"
"安楽寿院","京都府京都市伏見区竹田中内畑町74","34.9525","135.75472222"
"安楽律院","坂本本町","35.091666666","135.864555555"
"安閑寺","東京都文京区白山2-13-13","35.717111111","139.746694444"
"安休寺","愛知県西尾市一色町一色中屋敷2","34.811722222","137.024416666"
"安居院","上京区","35.070684","135.843073"
"安興寺","静岡県菊川市赤土305-2","34.699543","138.102997"
"安興寺","千葉県香取市岩部1306","35.812996","140.501434"
"安芸国分寺","東広島市","34.434236111","132.74875"
"安光寺","埼玉県児玉郡美里町古郡104","36.179623","139.192383"
"安国寺","〒791-0311 愛媛県東温市則之内甲2781番地","33.792361111","132.92175"
"安国寺","14-4, Tenjin 3-chōme, Chūō-ku, Fukuoka City 8100001","33.593277777","130.396583333"
"安国寺","810-0001福岡市中央区天神三丁目14番4号","33.593277777","130.396583333"
"安国寺","茨城県笠間市岩間上郷1487番地","36.345196","140.30426"
"安国寺","茨城県水戸市大足町1184番地","36.387764","140.366425"
"安国寺","沖縄県那覇市首里寒川町1-2","26.218527777","127.713416666"
"安国寺","下山田288番地","33.576921996","130.761712771"
"安国寺","岐阜県高山市国府町西門前474","36.22459722","137.24504167"
"安国寺","岐阜県揖斐郡池田町小寺304-1","35.439666666","136.54975"
"安国寺","京都府綾部市安国寺町寺ノ段1","35.34091667","135.30713889"
"安国寺","群馬県高崎市通町90−1","36.324277777","139.009611111"
"安国寺","広島県福山市鞆町後地990-1","34.388111","133.38"
"安国寺","山形県東村山郡山辺町大寺518","38.303889","140.255444"
"安国寺","鹿児島県薩摩川内市中郷3-149","31.835415","130.315964"
"安国寺","新潟県佐渡市畑野2041","38.001549","138.376556"
"安国寺","新潟県新発田市舟入町1-10-14","37.952507","139.30806"
"安国寺","千葉県富津市亀田207","35.264444444","139.882083333"
"安国寺","大分県国東市国東町安国寺2245","33.5615","131.719778"
"安国寺","長崎県壱岐市芦辺町深江栄触546","33.769333","129.748472"
"安国寺","長野県茅野市宮川安国寺2819番地","35.988694444","138.140888888"
"安国寺","天神三丁目260番","33.593277777","130.396583333"
"安国寺","栃木県下野市薬師寺1737","36.401406","139.876756"
"安国寺","福岡県久留米市山川神代1-5-21","33.322083333","130.561083333"
"安国寺","兵庫県加東市新定851","34.887167","135.045583"
"安国寺 (豊岡市)","兵庫県豊岡市但東町相田327","35.455444444","134.959305555"
"安国論寺","神奈川県鎌倉市大町4-4-18","35.31021667","139.55682222"
"安州寺","埼玉県日高市高麗本郷1033","35.899841","139.295104"
"安住院","岡山県岡山市中区国富3-1-29","34.663219","133.950409"
"安住寺","愛知県名古屋市中川区西中島1-1110","35.122444444","136.848055555"
"安住寺","岐阜県恵那市明智町杉野1060","35.322916666","137.400888888"
"安住寺","新潟県柏崎市大字石曾根3216","37.265587","138.618729"
"安住寺","千葉県長生郡白子町古所2257","35.451298","140.387161"
"安住寺","徳島県徳島市寺町82","34.07288889","134.54322222"
"安勝院","千葉県南房総市富浦町原岡185","35.047668","139.840195"
"安勝寺","群馬県邑楽郡板倉町大字籾谷甲1659","36.237011","139.576752"
"安勝寺","新潟県五泉市吉沢1-3-12","37.738659","139.177872"
"安勝寺","福島県喜多方市字諏訪98","37.653473","139.868515"
"安昌寺","東京都台東区今戸2-1-12","35.72093","139.80724"
"安昌寺","栃木県下都賀郡壬生町安塚1978","36.493206","139.832581"
"安照寺","埼玉県比企郡小川町木部31","36.072918","139.235138"
"安照寺","新潟県佐渡市春日175","38.088445","138.431516"
"安照寺","千葉県袖ケ浦市玉野178","35.368084","140.001907"
"安照寺","福島県南会津郡南会津町宮床字下宮床1044","37.251812","139.542023"
"安祥院 (京都市)","京都府京都市東山区五条通東大路東入遊行前町560","34.995638888","135.778361111"
"安祥寺","茨城県鉾田市安房1543番地","36.176277","140.524124"
"安祥寺","京都府京都市山科区御陵平林町22","34.995666666","135.815777777"
"安祥寺","鹿児島県肝属郡東串良町川西1515-2","31.373447","130.971893"
"安祥寺","千葉県長生郡長南町豊原712","35.378498","140.287964"
"安祥寺","千葉県木更津市真里谷5138","35.356365","140.107727"
"安詳寺","東京都大田区久が原4-4-10","35.581916666","139.694583333"
"安城寺","新潟県見附市柳橋町327","37.544277","138.898071"
"安浄寺","岩手県花巻市桜木町1丁目46番地","39.383833333","141.113444444"
"安心寺","千葉県野田市野田41","35.940811","139.864685"
"安世院","千葉県市川市中山2-5-1","35.719597","139.947617"
"安性寺","稲生町","35.209452533","136.893456347"
"安成寺","群馬県太田市新田花香塚町846","36.297733","139.260208"
"安正寺","愛知県安城市藤井町本郷3","34.893028","137.083861"
"安正寺","静岡県浜松市中央区薬師町84","34.724773","137.779861"
"安生寺","奈良県五條市今井4丁目6番15号","34.354444444","135.706805555"
"安盛寺","埼玉県児玉郡上里町神保原町263-1","36.254616","139.151031"
"安盛寺","千葉県長生郡長柄町中野台162","35.464802","140.232727"
"安聖寺","北区","",""
"安西寺","静岡県静岡市葵区丸山町23","34.985474","138.376083"
"安誠寺","千葉県市原市天羽田119","35.429768","140.05246"
"安専寺 (碧南市)","愛知県碧南市棚尾本町3-17","34.870222","136.99175"
"安泉寺","静岡県浜松市中央区米津町1967-1","34.674664","137.706223"
"安善寺","新潟県村上市小町3-34","38.225468","139.477646"
"安善寺","新潟県長岡市神田町1-4-10","37.454384","138.85231"
"安善寺","栃木県芳賀郡益子町大平202","36.50304","140.140167"
"安全寺","静岡県磐田市岩井1365-1","34.744381","137.885402"
"安禅寺","茨城県古河市磯部462","36.164011","139.740631"
"安禅寺","新潟県長岡市西蔵王3丁目2-16","37.46691667","138.84911111"
